Date,Open,High,Low,Close,Adj Close,Volume
2023-04-04,3.330000,3.460000,3.210000,3.220000,3.220000,99983500
2023-04-05,3.240000,3.320000,3.140000,3.280000,3.280000,111071700
2023-04-06,3.260000,3.410000,3.250000,3.370000,3.370000,71421700
2023-04-10,3.390000,3.450000,3.350000,3.350000,3.350000,56053800
2023-04-11,3.460000,3.870000,3.450000,3.780000,3.780000,244432900
2023-04-12,3.880000,3.930000,3.770000,3.880000,3.880000,152501900
2023-04-13,3.890000,3.970000,3.780000,3.860000,3.860000,97397100
2023-04-14,3.810000,3.850000,3.720000,3.740000,3.740000,89414800
2023-04-17,3.770000,3.770000,3.640000,3.660000,3.660000,89761000
2023-04-18,3.700000,3.730000,3.530000,3.540000,3.540000,108901600
2023-04-19,3.500000,3.510000,3.230000,3.250000,3.250000,151845400
2023-04-20,3.300000,3.350000,3.230000,3.300000,3.300000,112006200
2023-04-24,3.300000,3.430000,3.290000,3.390000,3.390000,91382200
2023-04-25,3.370000,3.390000,3.230000,3.280000,3.280000,82634400
2023-04-26,3.310000,3.320000,3.090000,3.110000,3.110000,117422100
2023-04-27,3.130000,3.200000,3.040000,3.200000,3.200000,93945400
2023-04-28,3.220000,3.340000,3.140000,3.340000,3.340000,81255600
2023-05-02,3.350000,3.350000,3.230000,3.240000,3.240000,64134100
2023-05-03,3.270000,3.370000,3.230000,3.340000,3.340000,88790500
2023-05-04,3.360000,3.640000,3.360000,3.570000,3.570000,151042400
2023-05-05,3.570000,3.840000,3.530000,3.810000,3.810000,146519800
2023-05-08,3.820000,4.000000,3.820000,3.870000,3.870000,109954800
2023-05-09,3.840000,4.270000,3.820000,4.140000,4.140000,160941400
2023-05-10,4.170000,4.360000,4.160000,4.290000,4.290000,112188500
2023-05-11,4.340000,4.430000,4.200000,4.350000,4.350000,103165200
2023-05-12,4.300000,4.360000,4.210000,4.310000,4.310000,69964900
2023-05-15,4.350000,4.460000,4.270000,4.380000,4.380000,88835600
2023-05-16,4.010000,4.100000,3.350000,3.380000,3.380000,347752900
2023-05-17,3.500000,3.530000,3.270000,3.360000,3.360000,184213700
2023-05-18,3.370000,3.590000,3.330000,3.540000,3.540000,178294200
2023-05-19,3.580000,3.730000,3.530000,3.640000,3.640000,146332000
2023-05-22,3.670000,3.870000,3.660000,3.800000,3.800000,126815600
2023-05-23,3.830000,3.840000,3.640000,3.660000,3.660000,114830900
2023-05-24,3.510000,3.720000,3.480000,3.630000,3.630000,105054300
2023-05-25,3.740000,3.820000,3.720000,3.760000,3.760000,119519600
2023-05-26,3.840000,3.870000,3.760000,3.820000,3.820000,76264400
2023-05-29,3.840000,3.860000,3.740000,3.790000,3.790000,44990800
2023-05-30,3.840000,3.900000,3.700000,3.730000,3.730000,77572200
2023-05-31,3.710000,3.810000,3.660000,3.800000,3.800000,76635200
2023-06-01,3.840000,4.060000,3.790000,4.060000,4.060000,106315800
2023-06-02,4.060000,4.060000,4.060000,4.060000,4.060000,0
2023-06-05,3.900000,3.970000,3.840000,3.890000,3.890000,60050600
2023-06-06,3.930000,4.050000,3.870000,3.990000,3.990000,99511200
2023-06-07,4.050000,4.180000,3.860000,3.880000,3.880000,123492800
2023-06-09,3.960000,4.070000,3.930000,3.970000,3.970000,119882600
2023-06-12,4.010000,4.070000,3.900000,3.960000,3.960000,118300100
2023-06-13,4.010000,4.020000,3.750000,3.760000,3.760000,137552200
2023-06-14,3.810000,3.840000,3.690000,3.810000,3.810000,135391300
2023-06-15,3.790000,3.820000,3.730000,3.750000,3.750000,115498600
2023-06-16,3.740000,3.790000,3.700000,3.710000,3.710000,87510800
2023-06-19,3.720000,3.750000,3.640000,3.730000,3.730000,58605400
2023-06-20,3.720000,3.730000,3.650000,3.680000,3.680000,82967600
2023-06-21,3.680000,3.790000,3.650000,3.760000,3.760000,90224800
2023-06-22,3.660000,3.680000,3.450000,3.570000,3.570000,184491500
2023-06-23,3.580000,3.630000,3.470000,3.580000,3.580000,81396800
2023-06-26,3.580000,3.600000,3.360000,3.400000,3.400000,95863300
2023-06-27,3.500000,3.530000,3.310000,3.380000,3.380000,131568800
2023-06-28,3.390000,3.460000,3.310000,3.350000,3.350000,88221600
2023-06-29,3.360000,3.500000,3.350000,3.450000,3.450000,79151300
2023-06-30,3.520000,3.540000,3.360000,3.370000,3.370000,83042200
2023-07-03,3.410000,3.480000,3.360000,3.440000,3.440000,72731600
2023-07-04,3.430000,3.430000,3.350000,3.370000,3.370000,65786100
2023-07-05,3.350000,3.510000,3.340000,3.410000,3.410000,165756300
2023-07-06,3.370000,3.380000,3.140000,3.150000,3.150000,172264200
2023-07-07,3.210000,3.300000,3.150000,3.180000,3.180000,111456800
2023-07-10,3.150000,3.160000,3.030000,3.050000,3.050000,94046200
2023-07-11,3.040000,3.090000,2.910000,3.060000,3.060000,111418000
2023-07-12,3.120000,3.150000,2.980000,2.980000,2.980000,90655800
2023-07-13,3.030000,3.110000,3.010000,3.020000,3.020000,88171300
2023-07-14,3.030000,3.050000,2.930000,2.950000,2.950000,69328500
2023-07-17,2.960000,3.000000,2.900000,2.960000,2.960000,61653400
2023-07-18,2.960000,3.000000,2.920000,2.960000,2.960000,61866800
2023-07-19,2.960000,3.010000,2.910000,2.940000,2.940000,77842000
2023-07-20,2.960000,2.980000,2.900000,2.900000,2.900000,71024000
2023-07-21,2.890000,3.060000,2.890000,3.020000,3.020000,91869700
2023-07-24,3.030000,3.050000,2.960000,3.010000,3.010000,78400000
2023-07-25,3.120000,3.220000,3.060000,3.070000,3.070000,117608500
2023-07-26,3.070000,3.130000,3.030000,3.090000,3.090000,78128400
2023-07-27,3.110000,3.210000,3.090000,3.170000,3.170000,122566000
2023-07-28,3.200000,3.230000,3.110000,3.170000,3.170000,89386700
2023-07-31,3.200000,3.370000,3.200000,3.350000,3.350000,109526700
2023-08-01,3.360000,3.460000,3.310000,3.430000,3.430000,84698800
2023-08-02,3.430000,3.440000,3.260000,3.330000,3.330000,105793800
2023-08-03,3.450000,3.480000,3.150000,3.160000,3.160000,127516800
2023-08-04,3.160000,3.210000,3.050000,3.060000,3.060000,107804000
2023-08-07,3.090000,3.090000,2.990000,3.010000,3.010000,82566000
2023-08-08,2.970000,3.030000,2.910000,2.990000,2.990000,86979400
2023-08-09,3.000000,3.020000,2.930000,2.970000,2.970000,84687600
2023-08-10,2.990000,3.010000,2.840000,2.850000,2.850000,98625900
2023-08-11,2.860000,2.950000,2.840000,2.880000,2.880000,81824200
2023-08-14,2.880000,2.920000,2.810000,2.840000,2.840000,84848500
2023-08-15,2.800000,2.800000,2.530000,2.770000,2.770000,207236600
2023-08-16,2.810000,3.030000,2.740000,2.970000,2.970000,234618100
2023-08-17,3.000000,3.020000,2.820000,2.820000,2.820000,114781700
2023-08-18,2.800000,3.040000,2.760000,3.000000,3.000000,132051900
2023-08-21,3.020000,3.070000,2.960000,3.050000,3.050000,113692400
2023-08-22,3.080000,3.130000,3.040000,3.040000,3.040000,96263900
2023-08-23,3.050000,3.070000,2.980000,3.060000,3.060000,76814100
2023-08-24,3.060000,3.060000,2.940000,3.020000,3.020000,85188900
2023-08-25,3.000000,3.020000,2.920000,2.920000,2.920000,86494900
2023-08-28,2.930000,2.990000,2.860000,2.930000,2.930000,78970600
2023-08-29,2.940000,2.990000,2.900000,2.930000,2.930000,42370200
2023-08-30,2.950000,2.950000,2.880000,2.920000,2.920000,50488000
2023-08-31,2.890000,2.910000,2.760000,2.760000,2.760000,97371400
2023-09-01,2.790000,2.860000,2.750000,2.860000,2.860000,73189800
2023-09-04,2.830000,2.860000,2.780000,2.780000,2.780000,38410300
2023-09-05,2.760000,2.770000,2.620000,2.690000,2.690000,107084800
2023-09-06,2.690000,2.760000,2.590000,2.590000,2.590000,87048400
2023-09-08,2.550000,2.560000,2.500000,2.510000,2.510000,68237200
2023-09-11,2.530000,2.580000,2.470000,2.550000,2.550000,66435500
2023-09-12,2.550000,2.650000,2.520000,2.620000,2.620000,96591600
2023-09-13,2.600000,2.720000,2.590000,2.620000,2.620000,70254600
2023-09-14,2.620000,2.640000,2.460000,2.580000,2.580000,120928100
2023-09-15,2.600000,2.640000,2.480000,2.480000,2.480000,118954300
2023-09-18,2.480000,2.620000,2.450000,2.580000,2.580000,109649300
2023-09-19,2.580000,2.610000,2.500000,2.520000,2.520000,64918600
2023-09-20,2.520000,2.570000,2.510000,2.520000,2.520000,57258300
2023-09-21,2.470000,2.480000,2.350000,2.350000,2.350000,135662700
2023-09-22,2.390000,2.410000,2.170000,2.240000,2.240000,133978200
2023-09-25,2.200000,2.200000,2.080000,2.150000,2.150000,92630000
2023-09-26,2.120000,2.180000,2.070000,2.100000,2.100000,63508200
2023-09-27,2.130000,2.150000,2.000000,2.040000,2.040000,178706800
2023-09-28,2.020000,2.090000,2.010000,2.050000,2.050000,83842300
2023-09-29,2.110000,2.170000,2.090000,2.120000,2.120000,107488900
2023-10-02,2.120000,2.130000,1.990000,2.010000,2.010000,91688200
2023-10-03,1.980000,2.000000,1.830000,1.840000,1.840000,135436800
2023-10-04,1.890000,1.950000,1.870000,1.890000,1.890000,131191000
2023-10-05,1.880000,1.900000,1.800000,1.810000,1.810000,81112600
2023-10-06,1.720000,1.800000,1.680000,1.780000,1.780000,123425800
2023-10-09,1.730000,1.870000,1.710000,1.860000,1.860000,80789000
2023-10-10,1.870000,2.020000,1.870000,1.990000,1.990000,126888600
2023-10-11,2.020000,2.080000,1.890000,1.910000,1.910000,126686500
2023-10-13,1.870000,1.890000,1.800000,1.820000,1.820000,67624500
2023-10-16,1.850000,1.860000,1.780000,1.790000,1.790000,69482900
2023-10-17,1.750000,1.770000,1.680000,1.690000,1.690000,83406800
2023-10-18,1.700000,1.820000,1.660000,1.730000,1.730000,152304100
2023-10-19,1.720000,1.730000,1.610000,1.610000,1.610000,134165100
2023-10-20,1.580000,1.620000,1.530000,1.540000,1.540000,158390600
2023-10-23,1.530000,1.560000,1.500000,1.510000,1.510000,159551900
2023-10-24,1.530000,1.550000,1.410000,1.410000,1.410000,167993400
2023-10-25,1.400000,1.460000,1.300000,1.440000,1.440000,251461900
2023-10-26,1.450000,1.530000,1.430000,1.470000,1.470000,204077400
2023-10-27,1.460000,1.490000,1.390000,1.460000,1.460000,157559900
2023-10-30,1.460000,1.470000,1.350000,1.370000,1.370000,79975400
2023-10-31,1.370000,1.380000,1.330000,1.330000,1.330000,145094800
2023-11-01,1.330000,1.360000,1.310000,1.330000,1.330000,138930300
2023-11-03,1.370000,1.540000,1.360000,1.490000,1.490000,247857700
2023-11-06,1.510000,1.570000,1.400000,1.430000,1.430000,160250000
2023-11-07,1.420000,1.780000,1.410000,1.770000,1.770000,298872500
2023-11-08,1.750000,2.020000,1.720000,1.780000,1.780000,355756000
2023-11-09,1.830000,1.830000,1.680000,1.710000,1.710000,175753500
2023-11-10,1.730000,1.810000,1.730000,1.800000,1.800000,105866900
2023-11-13,1.780000,1.880000,1.620000,1.730000,1.730000,221015200
2023-11-14,1.580000,1.790000,1.550000,1.750000,1.750000,520723700
2023-11-16,1.760000,2.250000,1.760000,2.190000,2.190000,384746900
2023-11-17,2.220000,2.330000,2.120000,2.220000,2.220000,298356100
2023-11-20,2.300000,2.350000,2.230000,2.280000,2.280000,140684200
2023-11-21,2.280000,2.300000,2.090000,2.130000,2.130000,186927000
2023-11-22,2.160000,2.220000,2.070000,2.080000,2.080000,157461900
2023-11-23,2.090000,2.190000,2.060000,2.170000,2.170000,74322800
2023-11-24,2.160000,2.170000,1.980000,1.990000,1.990000,179154600
2023-11-27,2.010000,2.070000,1.920000,1.960000,1.960000,175562900
2023-11-28,1.950000,1.960000,1.860000,1.910000,1.910000,207491400
2023-11-29,1.960000,2.030000,1.880000,1.880000,1.880000,220051500
2023-11-30,1.930000,2.030000,1.910000,2.020000,2.020000,282840100
2023-12-01,2.030000,2.190000,1.930000,2.170000,2.170000,243562100
2023-12-04,2.140000,2.170000,2.000000,2.000000,2.000000,199216900
2023-12-05,2.020000,2.180000,2.000000,2.140000,2.140000,191393600
2023-12-06,2.180000,2.210000,2.140000,2.170000,2.170000,132156800
2023-12-07,2.180000,2.280000,2.180000,2.260000,2.260000,132959700
2023-12-08,2.280000,2.300000,2.110000,2.130000,2.130000,191987000
2023-12-11,2.120000,2.230000,2.110000,2.230000,2.230000,77168200
2023-12-12,2.230000,2.310000,2.200000,2.280000,2.280000,118000900
2023-12-13,2.310000,2.530000,2.240000,2.530000,2.530000,218602900
2023-12-14,2.540000,2.650000,2.390000,2.430000,2.430000,215080300
2023-12-15,2.450000,2.470000,2.210000,2.210000,2.210000,249384000
2023-12-18,2.240000,2.260000,2.170000,2.180000,2.180000,124337700
2023-12-19,2.210000,2.250000,2.150000,2.160000,2.160000,129606800
